"","plantID","level","block","trmtUHURU","year","BA","height","woodystems","fruits","binfruits","fruitsnext6mo","binfruitsnext6mo","binsurnext6mo","BM","BMnext6mo","sclass1","sclass2","season","timepoint"
"167",210,"S",3,"MEGA","11",1.5393804,40.5,1,0,0,0,0,1,3.97367324324182,4.15957488999797,"1","1","W","0"
"168",211,"S",3,"MESO","11",23.88395815,81.6,3,2,1,0,0,1,12.5399152254404,11.0855778165997,"2","2","W","0"
"169",212,"S",3,"MESO","11",39.15209845,85.1,5,2,1,2,1,1,14.9983687814762,21.2743163241731,"2","3","W","0"
"170",213,"S",3,"MESO","11",4.154756284,65,1,0,0,NA,NA,1,6.48245692094552,NA,"1","1","W","0"
"171",214,"S",3,"MESO","11",3.141592654,33,1,0,0,NA,NA,0,4.70898107496091,NA,"1","1","W","0"
"172",215,"S",3,"MESO","11",10.1787602,1.1,NA,0,0,0,0,1,2.23994124007895,2.13691997756408,"1","1","W","0"
"173",216,"S",3,"MESO","11",2.83528737,2,NA,0,0,NA,NA,NA,1.78483262553079,NA,"1","1","W","0"
"174",218,"C",1,"CONT","11",33.1830724,18.7,5,0,0,0,0,1,8.55773776278686,14.0481895322383,"1","2","W","0"
"175",219,"C",1,"CONT","11",30.33207707,31.1,9,0,0,0,0,1,9.84209424348533,16.8093496177671,"2","2","W","0"
"176",220,"C",1,"CONT","11",8.552985999,37.7,4,0,0,0,0,1,6.8777449100905,10.1407803911774,"1","2","W","0"
"177",221,"C",1,"CONT","11",78.8147057,40.2,10,0,0,0,0,1,14.7485389669716,20.6102476524213,"2","3","W","0"
"178",222,"C",1,"CONT","11",3.141592654,31.2,2,0,0,0,0,1,4.62162396641366,8.74629750133028,"1","2","W","0"
"179",223,"C",1,"CONT","11",13.20254313,20.2,6,0,0,0,0,1,6.45535575926524,13.2885715334543,"1","2","W","0"
"180",224,"C",1,"CONT","11",62.21138852,32.2,4,0,0,0,0,1,12.6554381309713,15.3381691126429,"2","2","W","0"
"181",225,"C",1,"CONT","11",23.75829444,49.1,3,0,0,0,0,1,10.5652505480453,12.7506348540239,"2","2","W","0"
"182",226,"C",1,"CONT","11",6.605198554,11.6,2,0,0,0,0,1,4.25682639259228,10.0308937228407,"1","2","W","0"
"183",227,"C",1,"CONT","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","W","0"
"184",228,"C",1,"CONT","11",17.34944543,35.2,2,0,0,NA,NA,1,8.51227061407175,NA,"1","1","W","0"
"185",229,"C",1,"CONT","11",11.34114948,25.1,4,0,0,NA,NA,1,6.59743911640798,NA,"1","1","W","0"
"186",230,"C",1,"CONT","11",4.908738521,10.3,1,0,0,NA,NA,1,3.70521969252713,NA,"1","1","W","0"
"187",231,"C",1,"CONT","11",3.801327111,33.4,1,0,0,NA,NA,1,5.0386200953052,NA,"1","1","W","0"
"188",232,"C",1,"CONT","11",2.83528737,7.1,NA,0,0,NA,NA,NA,2.72452358247945,NA,"1","1","W","0"
"189",233,"C",1,"CONT","11",5.976880023,31.3,2,0,0,NA,NA,NA,5.73470094647195,NA,"1","1","W","0"
"190",234,"C",1,"CONT","11",4.154756284,10.1,0,0,0,NA,NA,1,3.48170664356248,NA,"1","1","W","0"
"191",235,"C",1,"CONT","11",4.908738521,15.1,2,0,0,NA,NA,1,4.20997493905449,NA,"1","1","W","0"
"192",236,"C",1,"CONT","11",7.54767635,9.9,NA,0,0,NA,NA,1,4.22132239162569,NA,"1","1","W","0"
"193",237,"C",1,"CONT","11",4.154756284,16.1,3,0,0,NA,NA,1,4.06816033672777,NA,"1","1","W","0"
"194",238,"C",1,"CONT","11",2.010619298,11.8,0,0,0,NA,NA,NA,2.8781460431955,NA,"1","1","W","0"
"195",239,"C",1,"CONT","11",1.767145868,23.1,1,0,0,NA,NA,1,3.44978331217514,NA,"1","1","W","0"
"196",240,"C",1,"CONT","11",26.42079422,24.2,5,0,0,NA,NA,1,8.64370668686603,NA,"1","1","W","0"
"197",241,"C",1,"CONT","11",27.33971007,25.7,7,0,0,NA,NA,1,8.92023718521805,NA,"2","1","W","0"
"198",242,"C",1,"CONT","11",1.130973355,2.5,NA,0,0,NA,NA,1,1.41480571376585,NA,"1","1","W","0"
"199",243,"C",1,"CONT","11",1.5393804,15.4,1,0,0,NA,NA,1,2.87738244149319,NA,"1","1","W","0"
"200",244,"C",1,"CONT","11",0.3848451,1.4,NA,0,0,NA,NA,1,0.813453786749031,NA,"1","1","W","0"
"201",245,"C",1,"CONT","11",15.21316243,15.7,2,0,0,NA,NA,NA,6.22203179471746,NA,"1","1","W","0"
"202",246,"C",1,"CONT","11",18.8574099,16.6,3,0,0,NA,NA,1,6.81004168036556,NA,"1","1","W","0"
"203",247,"C",1,"CONT","11",19.63495408,14.6,1,0,0,NA,NA,1,6.61293540882032,NA,"1","1","W","0"
"204",248,"C",1,"CONT","11",9.314822218,33.2,2,0,0,NA,NA,1,6.78247015174524,NA,"1","1","W","0"
"205",249,"C",1,"CONT","11",78.89324551,27.4,6,0,0,NA,NA,NA,12.9812277163731,NA,"2","1","W","0"
"206",250,"C",1,"CONT","11",24.6300864,18.2,1,0,0,NA,NA,0,7.67737145339095,NA,"1","1","W","0"
"207",251,"C",1,"CONT","11",1.767145868,6,NA,0,0,0,0,1,2.19956325045037,3.67326727404693,"1","1","W","0"
"208",252,"C",1,"CONT","11",1.5393804,21.4,1,0,0,0,0,1,3.21145812277848,4.00660299243895,"1","1","W","0"
"209",253,"C",1,"CONT","11",1.130973355,8.6,NA,0,0,0,0,1,2.13710665761357,1.86000489739441,"1","1","W","0"
"210",254,"C",1,"CONT","11",1.63362818,17.6,1,0,0,0,0,1,3.06883723573168,4.33466307232379,"1","1","W","0"
"211",255,"C",1,"CONT","11",1.5393804,26.1,1,0,0,0,0,1,3.43153912484931,4.23657203980718,"1","1","W","0"
"212",256,"C",1,"CONT","11",0.282743339,7.5,NA,0,0,NA,NA,1,1.28524569516656,NA,"1","1","W","0"
"213",257,"C",1,"CONT","11",1.767145868,17.7,2,0,0,NA,NA,NA,3.15635593199068,NA,"1","1","W","0"
"214",258,"C",1,"CONT","11",2.269800692,13.9,1,0,0,NA,NA,1,3.16548451920295,NA,"1","1","W","0"
"215",259,"C",1,"CONT","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","1","W","0"
"216",260,"C",1,"CONT","11",3.801327111,14.1,1,0,0,0,0,1,3.77812312195316,7.89783009165601,"1","1","W","0"
